L,K,Y,log Y,log K,log L
327612407,91879978363,3.17E+11,11.50064395,10.96322088,8.515360341
335309031,64748764982,2.67E+11,11.42570047,10.81123149,8.525445251
343350282,73009241666,2.84E+11,11.45387461,10.86337784,8.535737408
351841793,68146053158,2.76E+11,11.44023194,10.83344071,8.546347425
360942196,88991486302,3.23E+11,11.50908149,10.94934846,8.557437656
368221327,1.00E+11,3.55E+11,11.55081028,11,8.566108939
375264721,1.02E+11,3.88E+11,11.58844651,11.00860017,8.574337738
382547455,1.17E+11,4.10E+11,11.61312269,11.06818586,8.582685317
390041620,1.12E+11,4.16E+11,11.61881241,11.04921802,8.591110952
397713183,1.34E+11,4.53E+11,11.65581049,11.1271048,8.599569987
405521019,1.25E+11,4.62E+11,11.66478014,11.09691001,8.60801337
417003387,1.29E+11,4.79E+11,11.68030378,11.11058971,8.620139582
428862880,1.40E+11,5.08E+11,11.7059227,11.14612804,8.632318458
441049645,1.79E+11,6.00E+11,11.77785655,11.25285303,8.644487477
453489620,2.56E+11,7.00E+11,11.84490505,11.40823997,8.656567351
466155121,3.12E+11,8.09E+11,11.90789537,11.49415459,8.66853046
467165824,3.66E+11,9.20E+11,11.96393744,11.56348109,8.669471064
468125060,5.10E+11,1.20E+12,12.07958278,11.70757018,8.670361891
469002609,4.54E+11,1.19E+12,12.07443242,11.65705585,8.671175259
469829385,5.38E+11,1.32E+12,12.1218683,11.73078228,8.671940176
470610752,6.74E+11,1.66E+12,12.2192229,11.8286599,8.672661845
473683611,7.22E+11,1.82E+12,12.26079858,11.8585372,8.675488359
476800625,7.01E+11,1.83E+12,12.26189065,11.84571802,8.678336816
485906723,6.32E+11,1.86E+12,12.26874642,11.80071708,8.686552908
494963721,6.99E+11,2.04E+12,12.30944491,11.84447718,8.694573368
503834632,6.68E+11,2.10E+12,12.32271328,11.82477646,8.702288016
512765199,6.90E+11,2.27E+12,12.35683438,11.83884909,8.709918542
520194130,7.99E+11,2.60E+12,12.41455388,11.90254678,8.716165447
